age,lx,dx,qx,m.e.(qx),px,Lx,Tx,ex,m.e.(ex)
0 an,"100,000",446,0.00446,0.00036,0.99554,"99,600","8,377,469",83.8,0.1
1 an,"99,554",18,0.00018,0.00007,0.99982,"99,543","8,277,869",83.2,0.1
2 ans,"99,535",14,0.00014,0.00006,0.99986,"99,528","8,178,326",82.2,0.1
3 ans,"99,521",12,0.00012,0.00006,0.99988,"99,516","8,078,798",81.2,0.1
4 ans,"99,509",10,0.00010,0.00005,0.99990,"99,507","7,979,282",80.2,0.1
5 ans,"99,499",9,0.00009,0.00005,0.99991,"99,495","7,879,775",79.2,0.1
6 ans,"99,491",8,0.00008,0.00005,0.99992,"99,486","7,780,281",78.2,0.1
7 ans,"99,482",8,0.00008,0.00005,0.99992,"99,478","7,680,794",77.2,0.1
8 ans,"99,474",8,0.00008,0.00005,0.99992,"99,471","7,581,316",76.2,0.1
9 ans,"99,467",8,0.00008,0.00005,0.99992,"99,462","7,481,845",75.2,0.1
10 ans,"99,458",9,0.00009,0.00006,0.99991,"99,454","7,382,383",74.2,0.1
11 ans,"99,449",10,0.00010,0.00006,0.99990,"99,444","7,282,929",73.2,0.1
12 ans,"99,440",11,0.00011,0.00006,0.99989,"99,434","7,183,485",72.2,0.1
13 ans,"99,429",12,0.00012,0.00006,0.99988,"99,423","7,084,050",71.3,0.1
14 ans,"99,417",13,0.00013,0.00006,0.99987,"99,411","6,984,627",70.3,0.1
15 ans,"99,404",15,0.00015,0.00007,0.99985,"99,397","6,885,217",69.3,0.1
16 ans,"99,390",16,0.00016,0.00007,0.99984,"99,382","6,785,820",68.3,0.1
17 ans,"99,373",18,0.00018,0.00007,0.99982,"99,364","6,686,438",67.3,0.1
18 ans,"99,355",20,0.00020,0.00007,0.99980,"99,345","6,587,074",66.3,0.1
19 ans,"99,335",22,0.00022,0.00007,0.99978,"99,324","6,487,729",65.3,0.1
20 ans,"99,313",24,0.00024,0.00008,0.99976,"99,301","6,388,404",64.3,0.1
21 ans,"99,289",25,0.00025,0.00008,0.99975,"99,277","6,289,103",63.3,0.1
22 ans,"99,264",26,0.00026,0.00008,0.99974,"99,251","6,189,827",62.4,0.1
23 ans,"99,238",26,0.00026,0.00008,0.99974,"99,225","6,090,576",61.4,0.1
24 ans,"99,212",26,0.00026,0.00008,0.99974,"99,199","5,991,351",60.4,0.1
25 ans,"99,186",25,0.00026,0.00008,0.99974,"99,174","5,892,151",59.4,0.1
26 ans,"99,161",25,0.00026,0.00008,0.99974,"99,148","5,792,977",58.4,0.1
27 ans,"99,136",26,0.00026,0.00008,0.99974,"99,123","5,693,829",57.4,0.1
