Date,Marque,Modele,Annee_modele,Type,Aide_financiere,Demandeur
2016-01-25,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-25,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-25,Tesla,Model S,2015,VEE,8 000,Entreprise
2016-01-25,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-25,Nissan,Leaf,2015,VEE,8 000,Particulier
2016-01-26,Tesla,Model S,2015,VEE,8 000,Entreprise
2016-01-26,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-26,Tesla,Model S,2014,VEE,8 000,Particulier
2016-01-26,Nissan,Leaf,2016,VEE,8 000,Entreprise
2016-01-26,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-27,Nissan,Leaf,2015,VEE,8 000,Particulier
2016-01-27,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-27,Tesla,Model S,2015,VEE,8 000,Entreprise
2016-01-27,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-27,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-28,Nissan,Leaf,2015,VEE,8 000,Particulier
2016-01-28,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-28,Mitsubishi,i-MiEV,2016,VEE,8 000,Particulier
2016-01-28,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-28,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-28,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-28,Ford,Focus Électrique,2016,VEE,8 000,Municipalité
2016-01-29,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-29,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-29,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-29,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-29,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-29,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-29,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-02-01,Kia,Soul,2016,VEE,8 000,Particulier
2016-02-01,Kia,Soul,2016,VEE,8 000,Particulier
2016-02-01,Smart,fortwo electric driVEE,2016,VEE,8 000,Entreprise
2016-02-01,Tesla,Model S,2015,VEE,8 000,Particulier
2016-02-01,Tesla,Model S,2015,VEE,8 000,Particulier
2016-02-01,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-02-01,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-02-01,Smart,fortwo electric driVEE,2016,VEE,8 000,Particulier
2016-02-02,Tesla,Model S,2015,VEE,8 000,Particulier
2016-02-02,Tesla,Model S,2015,VEE,8 000,Particulier
2016-02-02,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-02-02,Kia,Soul,2016,VEE,8 000,Particulier
2016-02-02,Kia,Soul,2016,VEE,8 000,Particulier
2016-02-03,Kia,Soul,2016,VEE,8 000,Particulier
2016-02-03,Tesla,Model S,2015,VEE,8 000,Particulier
2016-02-04,Kia,Soul,2016,VEE,8 000,Particulier
2016-02-04,Kia,Soul,2016,VEE,8 000,Particulier
2016-02-04,Kia,Soul,2016,VEE,8 000,Particulier
2016-02-04,Nissan,Leaf,2016,VEE,8 000,Particulier
